N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-28 855,3
2;Златоустовский;-80 183,0
3;Карабашский;-43 362,0
4;Копейский;-28 517,7
5;Кыштымский;-12 253,2
6;Локомотивный;-1 298,9
7;Магнитогорский;-735 549,0
8;Миасский;54 126,6
9;Озерский;-34 981,2
10;Снежинский;26 767,5
11;Трехгорный;7 539,6
12;Троицкий;-3 304,9
13;Усть-Катавский;917,2
14;Чебаркульский;-51 019,7
15;Челябинский;-898 056,0
16;Южноуральский;-8 244,5
17;Агаповский;-15 825,4
18;Аргаяшский;-27 338,9
19;Ашинский;-83 783,4
20;Брединский;8 045,9
21;Варненский;30 759,0
22;Верхнеуральский;19 832,1
23;Еманжелинский;-64 104,3
24;Еткульский;23 390,8
25;Карталинский;1 356,1
26;Каслинский;-1 351,4
27;Катав-Ивановский;-12 838,4
28;Кизильский;-5 868,8
29;Коркинский;-9 268,8
30;Красноармейский;-73 897,1
31;Кунашакский;-24 592,7
32;Кусинский;-3 703,1
33;Нагайбакский ;-67 000,8
34;Нязепетровский;-3 696,9
35;Октябрьский;5 258,1
36;Пластовский;40 089,9
37;Саткинский;30 319,2
38;Сосновский;-30 679,1
39;Троицкий;12 057,6
40;Увельский;-53 992,3
41;Уйский;12 762,4
42;Чебаркульский ;13 659,3
43;Чесменский;-9 970,7
